esp	nah
lugar	-ko
lugar	-lan
sobre	-pan
chico	-tepiton
entre	-titlan
chico	-tontli
-ito	-tsin
pequeño	-tsintli
demaciados	-tsitsin
lugar	-uakan
no	a-
a	a
furioso	aakki
conocedor	aasini
selva	aauatlan
alegre	aauiani
parque	aauilpan
abril	abrili
mármol	achalchiuitl
pepita	acheli
algo	achi
gasolina	achiapopotl
charco	achiauitl
mandón	achichikatlauini
chupadero	achichinki
guardaespaldas	achichintli
estalagmita	achichipiktli
breve	achik
frágil	achikauak
debilitado	achikauali
flojera	achikaualistli
debilidad	achikauayotl
razonable	achikuali
chinampa	achinamilpan
parecido	achineneuki
achiote	achiotl
inflado	achipotsauak
momento	achitonkalistli
átomo	achitotontsin
poquito	achitsin
poco	achitsinko
prohibido	achiualoki
prohibido	achiualoni
molino	achiyamaschiuki
molido	achiyamastik
cerca	achka
pronombre	achkaitl
granero	achkali
capitán	achkautli
bisabuela	achsijtli
grano	achtli
antes	achto
comandantes	achtontekaj
comandancia	achtontekali
comandante	achtontekatl
bisabuelo	achtontli
primero	achtopa
anterior	achtopan
antes	achtotipan
primitivo	achtotlakatl
marea	aejekatl
afganistán	afgania
agosto	agoxto
hidrocálido	aguaskaltekatl
nunca	aik
inmortal	aikmikini
inmortalidad	aikmikistli
padecer	aikni
padecimiento	aiknilistli
acto	ainilistli
ejecutar	aitia
abedul	aititl
patio	aituali
kiosco	aitualkali
portón	aitualoyan
alcance	aiuteittalistli
sirviente	ajachtli
regocijar	ajauia
alguien	ak
alguno	aka
langostino	akachatl
alguien	akaj
grama	akakauastli
marinero	akalachiani
acalán	akalan
grumete	akalanelotl
embarcado	akalasali
sentina	akalayayalistli
barco	akali
embarcadero	akalko
camarote	akalkochiuayan
acanalar	akaloa
pinabete	akalokuauitl
estanque	akalotl
vela	akalpantilistli
avión	akalpatlani
avioneta	akalpatlanitontli
canoa	akalpechtli
buque	akalpoli
pirata	akalteichtekamiktini
puerto	akaltekoyan
lastre	akaltetlalinkatekoni
acanalado	akaltik
navegante	akaltikanemini
navegación	akaltikaneminilistli
grumete	akaltikapanoni
canoa	akaltontli
timonel	akalueltekani
