nah	esp
-ko	lugar
-lan	lugar
-pan	sobre
-tepiton	chico
-titlan	entre
-tontli	chico
-tsin	-ito
-tsintli	pequeño
-tsitsin	demaciados
-uakan	lugar
a-	no
a	a
aakki	furioso
aasini	conocedor
aauatlan	selva
aauiani	alegre
aauilpan	parque
abrili	abril
achalchiuitl	mármol
acheli	pepita
achi	algo
achiapopotl	gasolina
achiauitl	charco
achichikatlauini	mandón
achichinki	chupadero
achichintli	guardaespaldas
achichipiktli	estalagmita
achik	breve
achikauak	frágil
achikauali	debilitado
achikaualistli	flojera
achikauayotl	debilidad
achikuali	razonable
achinamilpan	chinampa
achineneuki	parecido
achiotl	achiote
achipotsauak	inflado
achitonkalistli	momento
achitotontsin	átomo
achitsin	poquito
achitsinko	poco
achiualoki	prohibido
achiualoni	prohibido
achiyamaschiuki	molino
achiyamastik	molido
achka	cerca
achkaitl	pronombre
achkali	granero
achkautli	capitán
achsijtli	bisabuela
achtli	grano
achto	antes
achtontekaj	comandantes
achtontekali	comandancia
achtontekatl	comandante
achtontli	bisabuelo
achtopa	primero
achtopan	anterior
achtotipan	antes
achtotlakatl	primitivo
aejekatl	marea
afgania	afganistán
agoxto	agosto
aguaskaltekatl	hidrocálido
aik	nunca
aikmikini	inmortal
aikmikistli	inmortalidad
aikni	padecer
aiknilistli	padecimiento
ainilistli	acto
aitia	ejecutar
aititl	abedul
aituali	patio
aitualkali	kiosco
aitualoyan	portón
aiuteittalistli	alcance
ajachtli	sirviente
ajauia	regocijar
ak	alguien
aka	alguno
akachatl	langostino
akaj	alguien
akakauastli	grama
akalachiani	marinero
akalan	acalán
akalanelotl	grumete
akalasali	embarcado
akalayayalistli	sentina
akali	barco
akalko	embarcadero
akalkochiuayan	camarote
akaloa	acanalar
akalokuauitl	pinabete
akalotl	estanque
akalpantilistli	vela
akalpatlani	avión
akalpatlanitontli	avioneta
akalpechtli	canoa
akalpoli	buque
akalteichtekamiktini	pirata
akaltekoyan	puerto
akaltetlalinkatekoni	lastre
akaltik	acanalado
akaltikanemini	navegante
akaltikaneminilistli	navegación
akaltikapanoni	grumete
akaltontli	canoa
akalueltekani	timonel
akamapichtli	boquilla
akamapili	puntero
akamati	desembocar
akamatl	desembocadura
akamayatl	acamaya
akanixmauki	atrevido
akanoyeui	faltante
akantetlaneui	semejante
akapatli	laurel
akapolkatl	acapulqueño
akatkani	exitado
akatlan	cañaveral
akatlapitsali	zampoña
akatsakuistli	pegamento
akattopa	inicialmente
akauali	gigantón
akaualko	baldío
akauatl	maleza
akaxitl	alberca
akaxotlan	balneario
akaxtontli	pilar
akayak	nadie
akayetl	pipa
akayokan	acayucan
akentenchiuayotl	inocencia
akentlattalistli	travesura
akentlattani	travieso
akimamatkayotl	necedad
akin	quién
akisalistli	natación
akisani	nadador
akochilistli	velatorio
akocholoa	faltar
akokali	mansión
akokitsa	progresar
akokitsalistli	progreso
akokitskili	alzado
akokoko	lirio
akokui	levantar
akolmaitl	antebrazo
akolmaitl	brazo
akomana	alborotar
akomanalistli	alboroto
akomanani	alborotador
akomitl	tinaja
akopa	arriba
akopan	sobre
akopechtli	mesa
akordioni	acordeón
akosili	acocil
akosilin	acocil
akostik	crema
akotlasalistli	consolación
akouetsi	confortar
akouetsiki	confortable
akouetsilistli	aliento
akoueuetilistli	contemplación
akoui	alzar
akouili	despegado
akoyalistli	contemplación
akoyani	contemplativo
akoyoktli	drenaje
aktitlasatilistli	hundimiento
akuali	mal
akualitilistli	maldición
akualotl	malicia
akualtlajtoli	grosería
akuanuastli	elevador
akuatsin	ruda
akuayolo	ignorante
akuekueyachin	sanguijuela
akueskomatl	acantilado
akueyotl	ola
akxoyaokotl	araucaria
alachin	flema
alaktik	resbaloso
